epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,3209.02,0.63858,0.47492,1.09066,0.79666,0.83759,0.84643,0.61268,0.89487,0.62072,1.33294,0.00048275,0.00048275,0.00048275
126,3233.32,0.63254,0.47313,1.08524,0.83256,0.75238,0.85924,0.6226,0.8895,0.65864,1.34139,0.000476562,0.000476562,0.000476562
127,3257.58,0.63994,0.47667,1.08763,0.80716,0.79376,0.84781,0.62057,0.88118,0.63951,1.32822,0.000470375,0.000470375,0.000470375
128,3281.92,0.62837,0.45925,1.08685,0.74709,0.84262,0.86225,0.62889,0.88458,0.64213,1.33204,0.000464188,0.000464188,0.000464188
129,3306.1,0.63632,0.46547,1.08387,0.7314,0.89966,0.85928,0.62651,0.88382,0.60658,1.32853,0.000458,0.000458,0.000458
130,3330.53,0.62426,0.45788,1.08205,0.77156,0.83711,0.84765,0.62013,0.89496,0.63248,1.3406,0.000451813,0.000451813,0.000451813
131,3354.69,0.63548,0.46543,1.08466,0.7268,0.82447,0.82393,0.60885,0.86567,0.64748,1.30525,0.000445625,0.000445625,0.000445625
132,3379.04,0.62855,0.45147,1.08704,0.80188,0.80582,0.85598,0.6232,0.8752,0.61621,1.33441,0.000439437,0.000439437,0.000439437
133,3403.17,0.6234,0.45197,1.08296,0.76808,0.82419,0.84925,0.62524,0.87118,0.63636,1.31494,0.00043325,0.00043325,0.00043325
134,3427.48,0.6211,0.46029,1.07329,0.83066,0.7712,0.85169,0.61827,0.878,0.6041,1.32541,0.000427062,0.000427062,0.000427062
135,3451.63,0.61409,0.45284,1.08089,0.77535,0.82675,0.86903,0.62015,0.89114,0.63428,1.33369,0.000420875,0.000420875,0.000420875
136,3475.87,0.62992,0.44965,1.09377,0.79308,0.81351,0.84113,0.6138,0.89039,0.64741,1.32649,0.000414688,0.000414688,0.000414688
137,3500.11,0.62541,0.44376,1.09159,0.78475,0.85099,0.86431,0.62346,0.88908,0.64163,1.33709,0.0004085,0.0004085,0.0004085
138,3524.41,0.61929,0.45549,1.09133,0.79616,0.81176,0.84745,0.62178,0.87259,0.63219,1.30819,0.000402312,0.000402312,0.000402312
139,3548.7,0.61496,0.44582,1.07705,0.8057,0.78796,0.86487,0.62663,0.86934,0.60283,1.31005,0.000396125,0.000396125,0.000396125
